"ID","Outcome Date","Animal ID","Name","Outcome Status","Euthanasia Reason","Type","Sex","Spayed/Neutered","Primary Breed","Primary Color","Secondary Color","Date of Birth","Intake Date","Days in Shelter","Timestamp"
"85774","2026 Jul 21 10:40:00 AM","28165",,"Adopted",,"Cat","Male","Yes","Domestic Shorthair","Grey Tabby",,"2026 Apr 09 12:00:00 AM","2026 Jun 18 11:25:00 AM","33","2026 Sep 12 12:15:21 AM"
"85770","2026 Jul 06 04:51:00 PM","29508","Kimmy","Transfer Out",,"Dog","Female","Unknown","German Shepherd","Tan","White","2023 Jul 06 12:00:00 AM","2026 Jul 06 07:22:00 AM","0","2026 Sep 12 12:15:25 AM"
"85762","2026 Jul 21 08:26:00 AM","25921","Nugget","Redemption (Offsite)",,"Dog","Male","Yes","Terrier","White","Black","2023 May 13 12:00:00 AM","2026 Jul 21 07:58:00 AM","0","2026 Sep 12 12:15:21 AM"
"85745","2026 Jul 20 06:42:49 PM","21620","Nino","Adopted",,"Dog","Male","Yes","Labrador Retriever","White","Blue Merle","2023 Feb 17 12:00:00 AM","2026 Feb 17 12:52:00 PM","153","2026 Sep 12 12:15:21 AM"
"85744","2026 Jul 20 06:42:39 PM","28686","Roosevelt","Adopted",,"Kitten","Male","Yes","Domestic Shorthair","White","Brown Tabby","2026 Apr 20 12:00:00 AM","2026 Jun 22 03:30:00 PM","28","2026 Sep 12 12:15:21 AM"
"85743","2026 Jul 20 06:40:57 PM","28689","Eleanor","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","White","Blue","2026 Apr 20 12:00:00 AM","2026 Jun 22 03:30:00 PM","28","2026 Sep 12 12:15:21 AM"
"85739","2026 Jul 20 06:31:40 PM","28646","Smitten","Adopted",,"Kitten","Female","yes","Domestic Shorthair","Brown Tabby",,"2026 May 19 12:00:00 AM","2026 Jun 22 11:34:00 AM","28","2026 Sep 12 12:15:21 AM"
"85737","2026 Jul 20 06:26:38 PM","29755",,"Adopted",,"Cat","Female","yes","Domestic Shorthair","Tortoiseshell",,"2026 Apr 09 12:00:00 AM","2026 Jul 09 12:09:00 PM","11","2026 Sep 12 12:15:21 AM"
"85736","2026 Jul 20 06:18:40 PM","28462","Batman","Adopted",,"Dog","Male","yes","Border Collie","Tri Color",,"2024 Dec 18 12:00:00 AM","2026 Jun 18 01:26:00 PM","32","2026 Sep 12 12:15:22 AM"
"85734","2026 Jul 20 06:13:26 PM","29378","Baby Moon","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Black",,"2021 Jul 03 12:00:00 AM","2026 Jul 03 04:11:00 PM","17","2026 Sep 12 12:15:22 AM"
"85733","2026 Jul 20 06:07:15 PM","29750","Stevie","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Grey Tabby",,"2025 Sep 09 12:00:00 AM","2026 Jul 09 11:45:00 AM","11","2026 Sep 12 12:15:22 AM"
"85732","2026 Jul 20 05:56:57 PM","28499","Peewee","Adopted",,"Cat","Male","yes","Domestic Shorthair","Black","White","2024 Jun 18 12:00:00 AM","2026 Jun 18 05:12:00 PM","32","2026 Sep 12 12:15:22 AM"
"85731","2026 Jul 20 05:54:08 PM","29291","Baby Beethoven","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Orange Tabby",,"2019 Jul 02 12:00:00 AM","2026 Jul 02 11:15:00 AM","18","2026 Sep 12 12:15:22 AM"
"85730","2026 Jul 20 05:51:00 PM","28581","Maybelle","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Tortoiseshell",,"2021 Jun 22 12:00:00 AM","2026 Jun 21 12:11:00 AM","29","2026 Sep 12 12:15:22 AM"
"85725","2026 Jul 20 05:38:54 PM","19380","Chole","Adopted",,"Cat","Female","Yes","Siamese","White","LYNX PT","2022 Dec 15 12:00:00 AM","2026 Jul 13 05:07:00 PM","7","2026 Sep 12 12:15:22 AM"
"85721","2026 Jul 20 05:24:29 PM","30011",,"Adopted",,"Kitten","Male","yes","Domestic Shorthair","Black","Black","2026 Apr 15 12:00:00 AM","2026 Jul 15 11:37:00 AM","5","2026 Sep 12 12:15:22 AM"
"85720","2026 Jul 20 05:07:00 PM","29943","Harlem","Adopted",,"Dog","Female","Yes","Poodle - Miniature","White","White","2024 Jul 14 12:00:00 AM","2026 Jul 14 12:19:00 PM","6","2026 Sep 12 12:15:22 AM"
"85718","2026 Jul 20 04:58:00 PM","30226",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Seal Point",,,"2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85717","2026 Jul 20 04:58:00 PM","30225",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Orange Tabby","White",,"2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85716","2026 Jul 20 04:58:00 PM","30224",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Orange Tabby",,,"2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85715","2026 Jul 20 04:58:00 PM","30223",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Orange Tabby",,,"2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85714","2026 Jul 20 04:58:00 PM","30222",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Blue",,,"2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85713","2026 Jul 20 04:58:00 PM","30221",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Blue",,,"2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85712","2026 Jul 20 04:58:00 PM","30231",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Grey Tabby",,"2026 Jun 22 12:00:00 AM","2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85711","2026 Jul 20 04:58:00 PM","30230",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Brown Tabby","White","2026 Jun 22 12:00:00 AM","2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85710","2026 Jul 20 04:58:00 PM","30229",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Brown Tabby",,"2026 Jun 22 12:00:00 AM","2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85709","2026 Jul 20 04:58:00 PM","30228",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Grey Tabby","White","2026 Jun 22 12:00:00 AM","2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85708","2026 Jul 20 04:58:00 PM","30227",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Brown Tabby",,"2026 Jun 22 12:00:00 AM","2026 Jul 20 11:44:00 AM","0","2026 Sep 12 12:15:22 AM"
"85707","2026 Jul 20 04:58:00 PM","30220",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Grey Tabby","White","2023 Jul 20 12:00:00 AM","2026 Jul 20 11:39:00 AM","0","2026 Sep 12 12:15:22 AM"
"85705","2026 Jul 20 04:52:42 PM","28991","Tortellini Special","Adopted",,"Kitten","Female","yes","Domestic Shorthair","Torbie",,"2026 May 23 12:00:00 AM","2026 Jun 26 02:25:00 PM","24","2026 Sep 12 12:15:22 AM"
"85704","2026 Jul 20 04:50:32 PM","26051","Sophie","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Black Tortoiseshell",,"2024 May 27 12:00:00 AM","2026 May 27 11:31:00 AM","54","2026 Sep 12 12:15:22 AM"
"85702","2026 Jul 20 04:42:55 PM","28299","Leopold","Adopted",,"Cat","Male","yes","Domestic Shorthair","Orange","White","2022 Jun 17 12:00:00 AM","2026 Jun 16 11:13:00 AM","34","2026 Sep 12 12:15:22 AM"
"85698","2026 Jul 20 04:09:30 PM","26060","Kiki","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Orange Tabby",,"2025 Jun 06 12:00:00 AM","2026 Jun 06 11:44:00 AM","44","2026 Sep 12 12:15:22 AM"
"85691","2026 Jul 20 03:40:00 PM","30251",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Orange Tabby","White","2026 Jun 29 12:00:00 AM","2026 Jul 20 03:06:00 PM","0","2026 Sep 12 12:15:22 AM"
"85689","2026 Jul 20 03:38:30 PM","25084","Hard Drive","Adopted",,"Dog","Male","Yes","Mountain Cur","Brown","Black","2025 Dec 14 12:00:00 AM","2026 Apr 28 01:36:00 PM","83","2026 Sep 12 12:15:22 AM"
"85681","2026 Jul 20 02:49:00 PM","30028","Fin","Adopted",,"Dog","Male","Yes","Yorkshire Terrier","Brown","Black","2015 Oct 01 12:00:00 AM","2026 Jul 15 02:56:00 PM","5","2026 Sep 12 12:15:22 AM"
"85678","2026 Jul 20 02:39:00 PM","30027"," puppy","Adopted",,"Dog","Female","No","Maltese Terrier","White","White","2021 Nov 11 12:00:00 AM","2026 Jul 15 02:56:00 PM","5","2026 Sep 12 12:15:22 AM"
"85677","2026 Jul 20 02:39:40 PM","29284","Maxwell","Adopted",,"Dog","Male","Yes","Labrador Retriever","Black","White","2026 Feb 02 12:00:00 AM","2026 Jul 02 09:19:00 AM","18","2026 Sep 12 12:15:22 AM"
"85676","2026 Jul 20 02:36:00 PM","30075",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Grey",,"2026 Jun 11 12:00:00 AM","2026 Jul 16 12:11:00 PM","4","2026 Sep 12 12:15:22 AM"
"85675","2026 Jul 20 02:35:00 PM","30074",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Ginger Tabby",,"2026 Jun 11 12:00:00 AM","2026 Jul 16 12:11:00 PM","4","2026 Sep 12 12:15:22 AM"
"85672","2026 Jul 20 02:30:00 PM","30073",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Ginger Tabby",,"2026 Jun 11 12:00:00 AM","2026 Jul 16 12:11:00 PM","4","2026 Sep 12 12:15:22 AM"
"85661","2026 Jul 20 02:16:00 PM","30175","Unknown","Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Brown Tabby","White","2026 Jul 04 12:00:00 AM","2026 Jul 18 02:29:00 PM","2","2026 Sep 12 12:15:22 AM"
"85660","2026 Jul 20 02:08:00 PM","26268","Madison","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Black Tortoiseshell",,"2026 Apr 07 12:00:00 AM","2026 May 19 11:56:00 AM","62","2026 Sep 12 12:15:22 AM"
"85656","2026 Jul 20 01:47:20 PM","15072","Magic","Adopted",,"Dog","Female","Yes","Labrador Retriever","Tan","Brown","2025 Jul 06 12:00:00 AM","2026 Jul 16 11:24:00 AM","4","2026 Sep 12 12:15:22 AM"
"85651","2026 Jul 20 01:17:00 PM","25089","Curtis","Adopted",,"Dog","Male","Yes","German Shepherd","Brown","Black","2024 Apr 28 12:00:00 AM","2026 Apr 28 01:50:00 PM","83","2026 Sep 12 12:15:22 AM"
"85642","2026 Jul 20 12:29:00 PM","30234","Cookie","Redemption (Offsite)",,"Dog","Male","Unknown","American Pit Bull Terrier","Black",,"2016 Jul 20 12:00:00 AM","2026 Jul 20 11:51:00 AM","0","2026 Sep 12 12:15:22 AM"
"85641","2026 Jul 20 12:29:00 PM","30233",,"Redemption (Offsite)",,"Dog","Female","No","American Pit Bull Terrier","Black","White","2016 Jan 20 12:00:00 AM","2026 Jul 20 11:51:00 AM","0","2026 Sep 12 12:15:22 AM"
"85640","2026 Jul 20 12:28:00 PM","30232",,"Redemption (Offsite)",,"Dog","Male","No","American Pit Bull Terrier","Black",,"2026 Jan 20 12:00:00 AM","2026 Jul 20 11:51:00 AM","0","2026 Sep 12 12:15:22 AM"
"85615","2026 Jul 20 11:34:00 AM","30137","Dorito","Transfer Out",,"Puppy","Female","No","Shih Tzu","Grey",,"2026 Apr 28 12:00:00 AM","2026 Jul 17 02:47:00 PM","3","2026 Sep 12 12:15:22 AM"
"85614","2026 Jul 20 11:33:00 AM","30136","Cheeto","Transfer Out",,"Puppy","Male","No","Shih Tzu","Grey",,"2026 Apr 28 12:00:00 AM","2026 Jul 17 02:47:00 PM","3","2026 Sep 12 12:15:22 AM"
"85613","2026 Jul 20 11:32:00 AM","30135","Mily","Transfer Out",,"Dog","Female","No","Shih Tzu","Tan",,"2024 Jul 17 12:00:00 AM","2026 Jul 17 02:47:00 PM","3","2026 Sep 12 12:15:22 AM"
"85611","2026 Jul 20 11:31:00 AM","30053",,"Transfer Out",,"Dog","Male","No","Shih Tzu","White","Black","2024 Jul 15 12:00:00 AM","2026 Jul 15 05:51:00 PM","5","2026 Sep 12 12:15:22 AM"
"85608","2026 Jul 20 11:25:00 AM","24606","Keys","Transfer Out",,"Cat","Female","Yes","Domestic Shorthair","Black",,"2025 Dec 19 12:00:00 AM","2026 Jul 16 03:16:00 PM","4","2026 Sep 12 12:15:22 AM"
"85607","2026 Jul 20 11:25:00 AM","6429","Sapphire","Transfer Out",,"Dog","Female","Yes","American Pit Bull Terrier","White","Tan","2023 Mar 31 12:00:00 AM","2025 Mar 31 12:00:00 AM","476","2026 Sep 12 12:15:22 AM"
"85600","2026 Jul 20 11:13:31 AM","27598","Posey","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby",,"2026 May 06 12:00:00 AM","2026 Jun 09 04:27:00 PM","41","2026 Sep 12 12:15:22 AM"
"85596","2026 Jul 20 11:06:00 AM","30067",,"Transfer Out",,"Dog","Female","No","French Bulldog","Tan","Black","2021 Jul 16 12:00:00 AM","2026 Jul 16 11:23:00 AM","4","2026 Sep 12 12:15:22 AM"
"85593","2026 Jul 20 10:46:00 AM","30071",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Brown Tabby",,"2024 Jul 16 12:00:00 AM","2026 Jul 16 12:02:00 PM","4","2026 Sep 12 12:15:22 AM"
"85590","2026 Jul 20 10:34:00 AM","30100",,"Euthanized","Injured","Kitten","Female","No","Domestic Shorthair","Brown Tabby",,"2026 May 03 12:00:00 AM","2026 Jul 16 08:53:00 PM","4","2026 Sep 12 12:15:22 AM"
"85577","2026 Jul 19 06:31:53 PM","28480","Tux","Adopted",,"Dog","Male","Yes","Chihuahua - Smooth","Black","White","2023 Jun 18 12:00:00 AM","2026 Jun 18 02:06:00 PM","31","2026 Sep 12 12:15:22 AM"
"85576","2026 Jul 19 06:23:00 PM","13397","Rage","Adopted",,"Dog","Male","Yes","American Pit Bull Terrier","White","Black","2024 Oct 06 12:00:00 AM","2026 Jul 01 08:01:00 AM","18","2026 Sep 12 12:15:22 AM"
"85568","2026 Jul 19 05:10:00 PM","29578","Rune","Transfer Out",,"Dog","Male","No","American Pit Bull Terrier","Blue",,"2026 Feb 07 12:00:00 AM","2026 Jul 07 11:32:00 AM","12","2026 Sep 12 12:15:22 AM"
"85563","2026 Jul 19 04:10:29 PM","29079","Oliver","Adopted",,"Kitten","Male","Yes","Domestic Shorthair","Cream","Orange Tabby","2026 May 17 12:00:00 AM","2026 Jun 28 11:45:00 AM","21","2026 Sep 12 12:15:22 AM"
"85554","2026 Jul 19 03:05:00 PM","30198",,"Transfer Out",,"Puppy","Unknown","Unknown","Labrador Retriever","Black",,"2026 Jul 05 12:00:00 AM","2026 Jul 19 01:00:00 PM","0","2026 Sep 12 12:15:22 AM"
"85553","2026 Jul 19 03:05:00 PM","30197",,"Transfer Out",,"Puppy","Unknown","Unknown","Labrador Retriever","Black",,"2026 Jul 05 12:00:00 AM","2026 Jul 19 01:00:00 PM","0","2026 Sep 12 12:15:22 AM"
"85543","2026 Jul 19 02:16:28 PM","28010","Nova","Adopted",,"Dog","Female","Yes","Labrador Retriever","Chocolate","White","2016 Jan 04 12:00:00 AM","2026 Jun 11 02:57:00 PM","38","2026 Sep 12 12:15:22 AM"
"85535","2026 Jul 19 01:31:00 PM","30139","Caramelo","Adopted",,"Dog","Male","Yes","Hound","Red Gold","White","2025 Nov 17 12:00:00 AM","2026 Jul 17 03:45:00 PM","2","2026 Sep 12 12:15:22 AM"
"85527","2026 Jul 19 12:57:00 PM","30192",,"Transfer Out",,"Cat","Unknown","Unknown","Domestic Shorthair","Grey Tabby","White","2025 Jan 15 12:00:00 AM","2026 Jul 15 11:57:00 AM","4","2026 Sep 12 12:15:22 AM"
"85526","2026 Jul 19 12:57:00 PM","30014",,"Transfer Out",,"Cat","Female","Unknown","Domestic Shorthair","Grey Tabby","White","2025 Jan 15 12:00:00 AM","2026 Jul 15 11:57:00 AM","4","2026 Sep 12 12:15:22 AM"
"85514","2026 Jul 19 12:33:19 PM","28530","Georgie","Adopted",,"Cat","Male","Yes","RUSSIAN BLUE","Blue",,"2024 Jun 20 12:00:00 AM","2026 Jun 20 07:44:00 AM","29","2026 Sep 12 12:15:22 AM"
"85506","2026 Jul 19 12:28:38 PM","28007","Kipper","Adopted",,"Puppy","Male","Yes","German Shepherd","Black","Brown","2026 May 04 12:00:00 AM","2026 Jun 11 02:43:00 PM","38","2026 Sep 12 12:15:22 AM"
"85496","2026 Jul 19 11:44:09 AM","29455","Narcissa","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Brown Tabby",,"2026 Jan 05 12:00:00 AM","2026 Jul 05 12:29:00 PM","14","2026 Sep 12 12:15:22 AM"
"85477","2026 Jul 19 08:30:00 AM","29771","Stu","Unassisted Death",,"Kitten","Male","No","Domestic Shorthair","Black",,"2026 Apr 26 12:00:00 AM","2026 Jul 09 02:20:00 PM","10","2026 Sep 12 12:15:22 AM"
"85475","2026 Jul 18 07:21:00 PM","28679",,"Transfer Out",,"Kitten","Male","Unknown","Domestic Shorthair","White","Black","2026 May 11 12:00:00 AM","2026 Jun 22 02:50:00 PM","26","2026 Sep 12 12:15:22 AM"
"85474","2026 Jul 18 07:21:00 PM","30182",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black","Calico","2026 Jul 02 12:00:00 AM","2026 Jul 18 04:17:00 PM","0","2026 Sep 12 12:15:22 AM"
"85473","2026 Jul 18 07:21:00 PM","30181",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Brown Tabby",,"2026 Jul 11 12:00:00 AM","2026 Jul 18 04:17:00 PM","0","2026 Sep 12 12:15:22 AM"
"85472","2026 Jul 18 07:21:00 PM","30180",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Grey Tabby","White","2026 Jul 02 12:00:00 AM","2026 Jul 18 04:17:00 PM","0","2026 Sep 12 12:15:22 AM"
"85470","2026 Jul 18 06:34:24 PM","14568","Homer","Adopted",,"Dog","Male","Yes","Labrador Retriever","Black",,"2017 Aug 29 12:00:00 AM","2025 Aug 29 12:41:00 PM","323","2026 Sep 12 12:15:22 AM"
"85469","2026 Jul 18 06:33:54 PM","24832","Josie","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Grey",,"2024 Apr 23 12:00:00 AM","2026 Apr 23 04:38:00 PM","86","2026 Sep 12 12:15:22 AM"
"85467","2026 Jul 18 06:27:53 PM","26552",,"Adopted",,"Kitten","Male","Yes","Domestic Shorthair","Orange Tabby","White","2026 Apr 18 12:00:00 AM","2026 May 26 02:54:00 PM","53","2026 Sep 12 12:15:22 AM"
"85466","2026 Jul 18 06:22:59 PM","26751","Taco","Adopted",,"Dog","Male","Yes","Chihuahua - Smooth","Tan","White","2018 May 27 12:00:00 AM","2026 May 27 03:01:00 PM","52","2026 Sep 12 12:15:22 AM"
"85459","2026 Jul 18 05:00:00 PM","29138","Trapper","Adopted",,"Dog","Male","Yes","Dachshund","Black","Brown","2016 Jun 29 12:00:00 AM","2026 Jun 29 07:09:00 PM","19","2026 Sep 12 12:15:22 AM"
"85453","2026 Jul 18 04:36:17 PM","30138","Toby","Adopted",,"Dog","Male","Yes","Yorkshire Terrier","Brown","White","2018 Jul 17 12:00:00 AM","2026 Jul 17 03:05:00 PM","1","2026 Sep 12 12:15:22 AM"
"85439","2026 Jul 18 03:59:25 PM","29837","Luka","Adopted",,"Cat","Female","Yes","Domestic Long Hair","Black","White","2021 Jul 14 12:00:00 AM","2026 Jul 14 10:02:00 AM","4","2026 Sep 12 12:15:22 AM"
"85432","2026 Jul 18 03:13:00 PM","29774","Latte","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby",,"2026 May 21 12:00:00 AM","2026 Jul 09 03:15:00 PM","9","2026 Sep 12 12:15:22 AM"
"85416","2026 Jul 18 01:59:53 PM","25484","White Cheddar Cheezit","Adopted",,"Dog","Male","Yes","Australian Cattle Dog","Red","White","2025 Jun 06 12:00:00 AM","2026 May 05 04:27:00 PM","74","2026 Sep 12 12:15:22 AM"
"85406","2026 Jul 18 01:14:00 PM","30166","Violet*","Adopted",,"Dog","Female","Yes","Australian Shepherd","Black","Brown","2021 Jul 18 12:00:00 AM","2026 Jul 18 11:55:00 AM","0","2026 Sep 12 12:15:22 AM"
"85405","2026 Jul 18 01:14:00 PM","30167","Ivy*","Adopted",,"Dog","Female","Unknown","Australian Shepherd","White","Black","2023 Jul 18 12:00:00 AM","2026 Jul 18 11:55:00 AM","0","2026 Sep 12 12:15:22 AM"
"85401","2026 Jul 18 01:02:00 PM","29916","Bola","Transfer Out",,"Dog","Male","No","Labrador Retriever","Brown","Brown","2024 Jul 14 12:00:00 AM","2026 Jul 14 02:51:00 PM","4","2026 Sep 12 12:15:22 AM"
"85400","2026 Jul 18 12:51:04 PM","26992","Mila","Adopted",,"Kitten","Female","Yes","Domestic Medium Hair","Brown Tabby","White","2026 Apr 18 12:00:00 AM","2026 May 30 08:31:00 PM","49","2026 Sep 12 12:15:22 AM"
"85399","2026 Jul 18 12:32:00 PM","26982","Frank","Adopted",,"Cat","Male","Yes","Domestic Shorthair","Brown Tabby","White","2025 May 30 12:00:00 AM","2026 May 30 02:09:00 PM","49","2026 Sep 12 12:15:22 AM"
"85395","2026 Jul 18 12:18:00 PM","29524","Juanita","Return to Habitat",,"Cat","Female","No","Domestic Shorthair","Grey Tabby",,"2025 Jul 06 12:00:00 AM","2026 Jul 06 11:14:00 AM","12","2026 Sep 12 12:15:22 AM"
"85385","2026 Jul 18 11:32:00 AM","29950",,"Adopted",,"Cat","Female","Yes","Domestic Shorthair","Orange Tabby","White","2022 Jul 14 12:00:00 AM","2026 Jul 14 01:58:00 PM","4","2026 Sep 12 12:15:22 AM"
"85369","2026 Jul 18 11:04:00 AM","30080",,"Return to Habitat",,"Cat","Female","No","Domestic Shorthair","Brown Tabby","White","2021 Jul 16 12:00:00 AM","2026 Jul 16 01:37:00 PM","2","2026 Sep 12 12:15:22 AM"
"85368","2026 Jul 18 10:57:00 AM","29935",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black",,"2026 Jun 23 12:00:00 AM","2026 Jul 14 11:29:00 AM","4","2026 Sep 12 12:15:22 AM"
"85367","2026 Jul 18 10:57:00 AM","29934",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black",,"2026 Jun 23 12:00:00 AM","2026 Jul 14 11:29:00 AM","4","2026 Sep 12 12:15:22 AM"
"85366","2026 Jul 18 10:57:00 AM","29933",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black",,"2026 Jun 23 12:00:00 AM","2026 Jul 14 11:29:00 AM","4","2026 Sep 12 12:15:22 AM"
"85365","2026 Jul 18 10:57:00 AM","29932",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black",,"2026 Jun 23 12:00:00 AM","2026 Jul 14 11:29:00 AM","4","2026 Sep 12 12:15:22 AM"
"85364","2026 Jul 18 10:57:00 AM","29931",,"Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Black",,"2026 Jun 23 12:00:00 AM","2026 Jul 14 11:29:00 AM","4","2026 Sep 12 12:15:22 AM"
"85363","2026 Jul 18 10:57:00 AM","29930",,"Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Black",,"2026 Jun 23 12:00:00 AM","2026 Jul 14 11:29:00 AM","4","2026 Sep 12 12:15:22 AM"
"85330","2026 Jul 18 09:56:00 AM","29957",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Torbie",,"2026 Jul 07 12:00:00 AM","2026 Jul 14 02:59:00 PM","4","2026 Sep 12 12:15:22 AM"
"85329","2026 Jul 18 09:56:00 AM","29956",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Black",,,"2026 Jul 14 02:59:00 PM","4","2026 Sep 12 12:15:22 AM"
"85328","2026 Jul 18 09:56:00 AM","29955",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Torbie",,,"2026 Jul 14 02:59:00 PM","4","2026 Sep 12 12:15:22 AM"
"85327","2026 Jul 18 09:56:00 AM","29954",,"Transfer Out",,"Kitten","Unknown","Unknown","Domestic Shorthair","Torbie",,,"2026 Jul 14 02:59:00 PM","4","2026 Sep 12 12:15:22 AM"
"85326","2026 Jul 18 09:56:00 AM","29953",,"Transfer Out",,"Cat","Female","No","Domestic Shorthair","Torbie",,"2024 Jul 14 12:00:00 AM","2026 Jul 14 02:59:00 PM","4","2026 Sep 12 12:15:22 AM"
"85321","2026 Jul 17 10:07:24 PM","27597","Dandy","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby",,"2026 May 06 12:00:00 AM","2026 Jun 09 04:27:00 PM","38","2026 Sep 12 12:15:22 AM"
"85316","2026 Jul 17 06:46:36 PM","26933","Astrid","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Grey Tabby","White","2026 Apr 26 12:00:00 AM","2026 May 29 03:45:00 PM","49","2026 Sep 12 12:15:22 AM"
"85313","2026 Jul 17 06:25:00 PM","29788","Spunky","Return to Habitat",,"Cat","Male","Yes","Domestic Shorthair","White","Grey","2023 Jan 16 12:00:00 AM","2026 Jul 10 11:41:00 AM","7","2026 Sep 12 12:15:22 AM"
"85309","2026 Jul 17 05:49:00 PM","30120",,"Transfer Out",,"Kitten","Male","No","Domestic Medium Hair","Orange Tabby",,"2026 Jul 14 12:00:00 AM","2026 Jul 17 01:36:00 PM","0","2026 Sep 12 12:15:22 AM"
"85308","2026 Jul 17 05:49:00 PM","28339","Rowdy","Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Brown Tabby",,"2026 May 06 12:00:00 AM","2026 Jun 16 02:52:00 PM","31","2026 Sep 12 12:15:22 AM"
"85307","2026 Jul 17 05:49:00 PM","28344","Tones","Transfer Out",,"Kitten","Male","No","Domestic Shorthair","Brown Tabby",,"2026 May 06 12:00:00 AM","2026 Jun 16 02:52:00 PM","31","2026 Sep 12 12:15:22 AM"
"85303","2026 Jul 17 05:29:00 PM","28342","Eowyn","Transfer Out",,"Kitten","Female","No","Domestic Shorthair","Torbie",,"2026 Apr 21 12:00:00 AM","2026 Jun 16 02:52:00 PM","31","2026 Sep 12 12:15:22 AM"
"85301","2026 Jul 17 05:07:15 PM","27442","Wispurr","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Black","Smoke","2026 May 06 12:00:00 AM","2026 Jun 06 01:03:00 PM","41","2026 Sep 12 12:15:22 AM"
"85297","2026 Jul 17 04:44:00 PM","30064","Rocky","Reclaimed",,"Dog","Male","Yes","German Shepherd","Black","Brown","2023 Jul 17 12:00:00 AM","2026 Jul 16 10:41:00 AM","1","2026 Sep 12 12:15:22 AM"
"85295","2026 Jul 17 04:37:34 PM","28816","Scoot","Adopted",,"Kitten","Female","Yes","Domestic Shorthair","Brown Tabby",,"2026 May 14 12:00:00 AM","2026 Jun 24 01:26:00 PM","23","2026 Sep 12 12:15:22 AM"
